username,predicted_user,score
tommaso,tommaso,260.6708984375
tommaso,tommaso,263.3624267578125
tommaso,tommaso,269.6242980957031
tommaso,tommaso,269.79473876953125
tommaso,tommaso,269.0958557128906
tommaso,tommaso,266.15240478515625
tommaso,tommaso,264.0480041503906
tommaso,tommaso,270.7804260253906
tommaso,tommaso,267.7874450683594
tommaso,tommaso,259.06280517578125
tommaso,tommaso,254.65301513671875
tommaso,tommaso,269.8466796875
tommaso,tommaso,269.9524230957031
tommaso,tommaso,231.65623474121094
tommaso,tommaso,229.80416870117188
tommaso,tommaso,267.8472595214844
tommaso,tommaso,266.84088134765625
tommaso,tommaso,268.84356689453125
tommaso,tommaso,251.8733673095703
tommaso,tommaso,270.3861083984375
tommaso,tommaso,261.9942626953125
tommaso,tommaso,267.23187255859375
tommaso,tommaso,254.75418090820312
tommaso,tommaso,255.2266387939453
tommaso,tommaso,225.40286254882812
tommaso,tommaso,268.36053466796875
tommaso,tommaso,264.3444519042969
tommaso,tommaso,262.5340576171875
tommaso,tommaso,231.43714904785156
tommaso,tommaso,265.5859375
tommaso,tommaso,264.7752380371094
tommaso,tommaso,263.5923156738281
tommaso,tommaso,261.0118408203125
tommaso,tommaso,257.19866943359375
tommaso,tommaso,269.2914733886719
tommaso,tommaso,270.8477478027344
tommaso,tommaso,260.677734375
tommaso,tommaso,258.0917053222656
tommaso,tommaso,257.6868896484375
tommaso,tommaso,199.49928283691406
tommaso,tommaso,264.5560302734375
rluzist1,tommaso,241.84027099609375
rluzist1,tommaso,224.89517211914062
rluzist1,tommaso,205.97657775878906
rluzist1,rluzist1,245.0326690673828
rluzist1,tommaso,245.29220581054688
rluzist1,tommaso,226.70652770996094
rluzist1,tommaso,240.50509643554688
tommaso,tommaso,239.8009033203125
rluzist1,tommaso,247.21136474609375
maurizio,maurizio,65.44696044921875
maurizio,maurizio,91.78990936279297
maurizio,maurizio,104.00874328613281
maurizio,maurizio,129.73048400878906
maurizio,maurizio,80.93374633789062
barbara,barbara,-1.6548042297363281
barbara,barbara,5.323083877563477
barbara,barbara,12.154216766357422
barbara,barbara,-16.116161346435547
barbara,barbara,13.226278305053711

livia,livia,222.39581298828125
livia,giovanna,245.44125366210938
livia,livia,234.8023681640625
livia,livia,232.37367248535156
livia,livia,195.01437377929688
tommaso,tommaso,260.8745422363281
mara ,tommaso,191.69796752929688
tommaso,tommaso,270.4311828613281
ciro,ciro,264.13006591796875
tommaso,tommaso,260.95782470703125
pietro,pietro,247.164306640625
tommaso,tommaso,256.5400390625
marco,marco,268.8294982910156

marco,marco,273.1400451660156

tommaso,tommaso,262.1692199707031
tommaso,tommaso,247.2203369140625
tommaso,tommaso,252.7534637451172
tommaso,tommaso,260.0683288574219
tommaso,tommaso,256.200927734375
tommaso,tommaso,260.6376953125
tommaso,tommaso,242.33033752441406
tommaso,tommaso,249.284423828125
tommaso,tommaso,230.78956604003906
giovanna,giovanna,203.00582885742188
giovanna,giovanna,219.0056915283203
giovanna,pietro,223.47682189941406
tommaso,tommaso,231.69906616210938
tommaso,tommaso,266.4403076171875
tommaso,tommaso,249.93649291992188
giovanna,livia,221.2880859375
tommaso,tommaso,237.1826934814453
luca,luca,171.20614624023438
luca,luca,200.5242919921875
luca,luca,130.7207489013672
giovanna,giovanna,254.41122436523438
giovanna,marco,274.45709228515625
giovanna,marco,267.0390930175781
giovanna,marco,278.3837585449219
giovanna,marco,275.3995666503906
giovanna,marco,277.4737548828125
tommaso,tommaso,253.21026611328125
marco,marco,276.7551574707031

barbara,pietro,41.30389404296875

barbara,barbara,7.1210527420043945

barbara,barbara,-0.8559370040893555

barbara,barbara,0.3327980041503906

barbara,mara,20.062915802001953

marco,marco,293.8301086425781

marco,marco,275.0643615722656

marco,marco,288.77081298828125

marco,marco,274.2417297363281

marco,marco,280.9147644042969

pietro,pietro,144.64932250976562

marco,marco,286.85943603515625

marco,marco,276.1989440917969

marco,marco,273.79742431640625

marco,marco,281.32305908203125

marco,marco,270.44866943359375

marco,marco,280.44073486328125

marco,marco,292.5400390625

maurizio,maurizio,92.2674789428711

maurizio,maurizio,50.81536865234375

maurizio,maurizio,109.65447235107422

maurizio,maurizio,133.60867309570312

maurizio,maurizio,110.44725799560547

maurizio,maurizio,91.45210266113281

lavi,giovanna,245.27919006347656

lavi,lavi,221.88742065429688

lavi,lavi,239.32948303222656

marco,marco,274.6268005371094

lavi,pietro,242.23648071289062

lavi,lavi,233.27003479003906

lavi,pietro,243.1920623779297

marco,marco,276.2311096191406

marco,marco,269.8265380859375

marco,marco,276.0069580078125

marco,marco,278.80206298828125

marco,marco,283.3139343261719

marco,marco,284.1747131347656

marco,marco,271.36688232421875

marco,marco,213.28622436523438

marco,marco,239.6057891845703

marco,marco,194.05941772460938

marco,marco,245.97647094726562

marco,marco,243.18896484375

marco,marco,262.1251220703125

marco,marco,275.0416259765625

marco,marco,240.65225219726562

pietro,pietro,197.9976806640625
rluzist1,rluzist1,224.9864959716797
rluzist1,rluzist1,237.06561279296875
rluzist1,ciro,234.23312377929688
rluzist1,pietro,235.38230895996094
rluzist1,rluzist1,232.47979736328125
rluzist1,rluzist1,237.34901428222656
rluzist1,rluzist1,235.14727783203125
rluzist1,pietro,221.53384399414062
rluzist1,tommaso,230.98614501953125
rluzist1,ciro,229.66307067871094
rluzist1,ciro,213.35279846191406
rluzist1,tommaso,230.99745178222656
tommaso,tommaso,268.54290771484375
tommaso,tommaso,259.1234436035156
tommaso,tommaso,254.6495361328125
marco,marco,258.42828369140625
marco,marco,279.2461853027344
marco,marco,284.2891540527344
marco,marco,285.95843505859375
marco,marco,271.6820068359375
marco,marco,247.17669677734375
